subID,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,BIS_score,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI_C_score,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,Planfulness_score,annualincome,threshold,minincome,maxincome,adj_inc,INR
11,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,3,1,1.6,4,2,5,3,3,4,5,5,4,5,4,1,5,4,4,4,4,5,4,3,4,5,4,4,4,4,1,5,4,5,4,5,5,4,1,4,2,5,1,4,1,4,5,4,3.795454545,5,5,5,5,4,4,5,5,5,4,5,2,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.666666667,"$130,000-$139,999",16072,130000,140000,135000,8.399701344
12,2,2,2,1,3,3,3,3,4,4,2,3,4,1,4,1,1,2,1,4,1,2,3,1,2,3,2,2,4,3,2.433333333,1,4,4,5,2,5,2,2,1,4,1,1,4,5,2,1,4,4,5,4,5,4,2,1,2,1,5,2,5,4,5,4,2,1,5,1,2,2,5,2,4,3,2,1,2.977272727,4,4,4,5,3,2,2,3,3,2,4,4,2,2,2,2,4,5,4,3,2,2,3,4,4,3,4,4,4,5,3.3,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
13,2,1,3,2,2,2,2,2,2,1,2,2,3,2,4,1,2,2,2,2,1,1,2,1,1,1,2,3,4,2,1.966666667,4,1,5,4,4,5,4,3,4,5,1,1,5,5,4,4,5,2,4,5,4,5,2,2,2,4,2,5,5,4,4,5,4,4,5,4,1,5,4,4,5,5,2,1,3.704545455,5,2,2,2,4,4,4,4,5,2,4,4,4,4,4,4,4,1,4,4,3,4,4,4,2,3,4,4,4,4,3.566666667,"$70,000 - $79,999",14507,70000,80000,75000,5.169917971
14,3,2,3,4,1,3,2,4,3,3,3,3,4,2,4,2,2,2,2,2,1,2,1,1,2,2,3,2,3,3,2.466666667,5,2,4,2,4,1,4,3,2,4,4,1,4,4,3,4,4,2,5,5,2,4,2,4,4,1,2,3,4,5,2,4,4,3,3,5,2,4,3,4,1,4,2,4,3.25,4,2,2,4,2,2,3,3,2,2,4,2,2,3,3,2,3,4,3,2,2,4,4,2,4,4,2,4,4,4,2.933333333,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
15,2,1,2,4,1,1,2,1,2,1,1,1,1,1,4,1,2,1,2,1,1,2,2,1,1,1,4,1,1,3,1.633333333,1,1,5,1,3,4,5,5,5,2,4,1,5,1,3,3,5,5,2,3,5,5,5,5,2,1,1,5,1,4,4,5,5,4,3,5,1,5,2,2,3,5,4,1,3.340909091,5,5,2,3,4,4,5,3,3,5,2,4,5,2,4,4,3,4,5,4,5,5,4,3,2,3,4,3,5,1,3.7,"$90,000 - $99,999",14507,90000,1.00E+05,95000,6.548562763
16,1,2,3,2,1,2,2,2,2,4,2,2,3,2,4,1,1,2,1,3,2,1,3,2,1,3,3,2,4,3,2.2,3,2,3,2,4,5,5,4,4,4,2,1,5,4,1,2,5,4,4,4,4,5,2,3,2,2,2,4,4,4,4,5,4,4,4,3,1,4,3,2,1,4,4,3,3.318181818,5,5,3,4,3,4,4,4,4,4,4,5,2,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,5,4,3.9,"$70,000 - $79,999",18774,70000,80000,75000,3.994886545
17,1,1,3,2,1,2,1,1,1,4,3,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,4,3,4,4,1.9,2,1,5,1,2,5,4,5,3,4,2,1,5,4,3,2,4,5,2,1,5,5,4,4,2,2,4,5,4,1,5,4,5,4,5,2,2,5,2,1,4,4,4,2,3.318181818,4,5,3,4,4,3,3,3,3,3,2,4,4,1,3,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,3.233333333,"$40,000 - $49,999",12486,40000,50000,45000,3.604036521
18,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1.433333333,2,2,4,3,3,4,4,4,3,3,2,2,5,3,3,3,3,5,4,3,4,5,4,3,2,1,2,4,2,3,4,4,5,4,5,3,1,4,4,3,2,5,4,1,3.272727273,4,3,2,4,4,3,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,4,3,4,3,4,4,3.6,"$70,000 - $79,999",24755,70000,80000,75000,3.029690972
19,3,2,2,2,2,3,4,2,2,4,3,3,4,1,3,1,2,2,3,4,2,3,1,3,3,3,4,3,2,4,2.666666667,5,2,5,5,4,2,5,2,3,5,1,1,3,4,5,3,5,3,4,5,2,4,1,2,4,2,2,2,4,4,2,5,2,4,3,4,3,2,4,4,4,4,2,1,3.25,4,3,2,3,4,4,3,4,4,2,2,2,2,3,4,2,4,2,4,3,3,3,3,4,4,4,3,4,4,4,3.233333333,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
20,1,1,3,2,1,2,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,2,1,1,1,3,1,1,3,1.466666667,2,4,5,2,4,4,4,5,3,4,2,1,5,4,4,3,3,5,2,2,4,4,5,4,4,4,2,5,2,2,4,4,5,3,2,2,2,5,2,3,4,4,4,1,3.386363636,5,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,4,2,3.633333333,"$60,000 - $69,999",11511,60000,70000,65000,5.646772652
21,1,1,2,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,2,1,3,1,1.366666667,2,1,5,1,5,5,5,3,5,3,3,1,5,1,5,3,5,5,1,3,5,4,5,5,3,3,1,5,1,3,4,5,5,5,4,5,1,5,1,3,3,5,5,3,3.545454545,5,5,1,3,5,5,5,5,3,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,3,4,5,5,3,5,4.433333333,"$40,000 - $49,999",16072,40000,50000,45000,2.799900448
22,3,2,2,2,3,3,3,2,4,3,2,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2.433333333,2,4,4,4,4,5,4,4,2,4,1,2,4,4,3,2,2,2,5,4,5,1,4,2,4,1,4,2,4,4,5,4,4,4,4,2,2,4,4,4,2,4,1,4,3.295454545,4,4,3,2,2,2,4,2,4,2,3,2,3,3,4,2,4,4,3,2,2,3,3,4,3,2,4,4,2,2,2.933333333,"$70,000 - $79,999",24755,70000,80000,75000,3.029690972
23,3,3,3,3,2,3,2,3,3,3,1,2,4,2,3,1,3,2,3,3,1,4,2,1,3,3,3,1,2,3,2.5,4,1,3,4,3,4,5,2,3,4,2,1,5,3,4,3,5,2,4,3,4,5,3,4,2,3,1,4,4,3,4,5,3,3,4,3,1,3,4,3,3,5,2,2,3.25,4,3,1,2,3,2,2,4,3,2,4,3,3,2,3,2,3,2,3,2,4,3,3,3,2,2,2,2,3,3,2.666666667,"$190,000-$199,999",24755,190000,2.00E+05,195000,7.877196526
24,2,2,2,1,2,2,2,3,3,4,2,2,2,2,2,2,2,1,2,2,2,3,3,1,2,3,2,2,3,2,2.166666667,1,2,3,3,4,5,3,3,1,5,2,1,3,5,3,3,4,3,5,5,5,3,2,2,3,3,2,4,5,3,5,4,3,4,3,2,3,4,5,3,1,3,3,4,3.25,5,3,3,4,4,3,4,5,4,2,2,4,3,4,4,3,4,3,4,4,3,4,4,3,3,5,3,5,4,3,3.633333333,"$70,000 - $79,999",16072,70000,80000,75000,4.666500747
25,3,2,2,2,2,2,3,3,3,3,1,2,3,3,3,1,3,3,1,3,2,2,2,3,2,2,2,2,3,3,2.366666667,2,3,3,4,3,4,3,3,3,4,2,1,4,4,4,3,5,2,1,1,5,5,3,3,4,3,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3.386363636,4,3,2,2,4,2,4,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,3,5,3,4,4,3,2,3,3.066666667,NA,NA,NA,NA,NA,NA
26,2,3,3,3,2,3,1,2,2,2,2,1,1,3,3,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,4,4,5,2,4,4,4,2,4,5,4,3,5,3,4,4,5,3,3,4,4,5,3,4,4,5,4,4,4,3,3,4,4,5,3,5,4,4,2,3,2,4,3,3,3.75,5,4,3,3,4,3,4,4,4,3,4,4,3,3,4,4,4,3,5,4,4,4,4,4,3,4,4,4,3,4,3.766666667,"$50,000 - $59,999",14507,50000,60000,55000,3.791273178
27,2,2,2,3,2,2,1,2,2,3,3,2,2,1,3,1,2,1,2,2,1,2,2,1,1,2,2,3,1,2,1.9,2,2,4,2,3,5,4,4,4,4,2,1,4,2,4,3,4,4,2,3,5,4,3,5,4,2,3,3,2,2,5,4,4,4,3,1,3,4,2,4,4,4,3,1,3.227272727,4,4,3,3,4,2,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3.7,"$180,000-$189,999",34337,180000,190000,185000,5.387774121
28,2,2,2,2,2,2,4,3,3,4,1,2,4,2,4,1,1,4,1,3,1,1,2,1,1,2,3,1,3,3,2.233333333,2,2,4,2,3,5,4,3,2,4,3,2,5,4,3,3,5,3,3,3,5,4,2,2,3,1,3,4,4,4,5,4,4,2,4,1,2,4,5,4,4,4,2,2,3.272727273,3,4,2,3,4,2,3,4,3,2,2,3,4,4,3,2,4,3,4,3,4,4,3,2,3,4,4,2,3,2,3.1,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
29,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1.5,5,2,5,1,4,2,4,4,4,5,2,1,5,2,4,3,4,4,2,4,2,4,5,5,4,4,1,4,2,4,2,4,4,4,3,5,2,4,2,3,1,4,4,3,3.340909091,4,4,2,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3.766666667,"$60,000 - $69,999",16072,60000,70000,65000,4.044300647
30,2,1,3,3,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1.6,2,2,5,1,4,4,5,5,5,5,5,1,5,1,4,4,4,5,1,1,5,5,5,5,3,3,1,5,4,4,1,5,5,5,5,5,1,5,1,5,3,5,5,4,3.727272727,5,5,1,1,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,2,4,4,4,5,5,4.366666667,NA,NA,NA,NA,NA,NA
31,1,2,3,3,1,2,1,1,2,4,1,1,2,1,2,1,2,2,3,1,2,3,3,2,3,3,2,1,1,2,1.933333333,5,3,5,4,5,2,5,5,2,4,2,1,5,4,5,4,5,2,4,4,4,4,4,2,4,5,4,5,4,4,4,5,5,4,3,5,3,5,4,4,5,5,2,5,3.977272727,4,2,1,2,4,2,4,4,4,2,4,4,2,3,4,2,4,3,2,4,2,4,4,4,3,4,3,4,2,4,3.166666667,"$20,000 - $29,999",11511,20000,30000,25000,2.171835635
32,1,3,3,4,3,4,3,2,1,1,3,2,1,4,2,4,2,3,4,2,2,3,3,3,2,3,3,4,3,2,2.666666667,3,2,4,3,3,3,3,2,4,3,4,4,2,3,2,2,3,4,3,4,4,2,2,2,3,3,3,2,3,2,2,4,4,2,3,4,2,4,2,3,3,2,2,3,2.886363636,3,2,1,3,4,4,3,3,4,4,3,2,4,3,4,4,2,2,3,2,3,3,4,4,4,4,4,4,3,4,3.233333333,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722
33,2,2,3,3,1,2,2,1,1,4,3,1,2,1,4,2,1,3,1,2,1,3,2,1,3,2,3,4,1,4,2.166666667,4,4,5,1,3,3,5,4,3,4,4,1,5,2,4,3,1,4,4,3,3,4,4,5,4,3,1,4,3,5,4,4,5,3,4,4,1,3,2,4,1,4,3,3,3.363636364,5,2,3,3,4,2,4,3,4,3,4,4,3,3,3,2,4,4,2,3,3,3,3,4,2,2,1,3,4,2,3.066666667,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
34,3,3,3,2,2,1,2,1,1,3,1,2,4,1,3,1,2,2,2,2,1,1,4,1,1,2,3,1,3,4,2.066666667,1,2,5,1,4,5,4,5,4,2,1,1,2,4,4,4,5,4,4,2,5,5,2,5,2,4,4,2,1,4,5,4,4,5,5,1,1,4,3,4,4,4,5,2,3.386363636,4,4,2,4,3,2,3,4,4,2,2,2,2,2,2,4,4,2,2,4,4,3,4,3,1,4,4,4,2,2,2.966666667,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
35,2,2,2,3,2,1,1,2,2,4,1,1,4,3,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1.766666667,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,2,4,3,4,4,4,4,2,4,4,2,2,4,3,4,4,4,4,4,4,3,2,3,2,3,2,4,4,2,3.431818182,4,3,2,4,4,4,4,4,4,4,4,5,3,4,4,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3.766666667,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
36,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1.366666667,3,4,5,4,4,3,4,5,4,5,2,1,5,3,3,4,3,2,5,4,3,2,4,3,4,4,3,4,4,5,3,4,5,4,3,4,3,5,3,4,5,4,3,5,3.727272727,5,5,4,4,5,4,4,5,5,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,4,4,4,3,4,5,4.466666667,"$60,000 - $69,999",16072,60000,70000,65000,4.044300647
37,2,1,2,1,2,2,2,1,3,4,1,2,4,2,3,1,2,3,2,3,2,2,4,3,2,1,3,3,3,4,2.333333333,1,2,4,4,2,3,4,5,1,4,1,1,3,4,3,2,3,3,4,2,4,5,5,3,3,3,2,2,4,2,4,4,4,2,3,2,3,3,3,2,5,3,1,2,2.954545455,4,3,3,2,2,2,2,4,3,1,4,3,2,2,2,1,3,3,2,1,2,2,4,2,3,3,3,2,4,2,2.533333333,NA,NA,NA,NA,NA,NA
38,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,1,1,2,3,2,2,2,2,3,2,2.166666667,3,1,5,1,4,5,5,5,3,5,3,1,5,2,5,3,5,5,3,4,3,3,5,5,4,1,3,4,1,3,5,5,5,3,3,3,1,4,3,4,2,4,4,1,3.454545455,5,4,5,3,4,4,4,4,4,3,5,4,4,5,5,4,4,4,5,4,3,3,5,5,4,5,4,2,5,4,4.133333333,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
39,3,1,2,3,1,1,2,2,2,3,1,2,3,1,3,1,1,1,2,2,1,1,2,1,1,1,2,1,3,3,1.766666667,3,1,5,1,3,4,4,4,4,4,3,1,5,3,3,3,4,5,1,3,4,5,4,5,3,3,4,4,2,4,4,4,4,4,3,3,1,5,1,4,2,4,4,2,3.340909091,5,3,3,3,4,3,4,4,3,3,2,4,4,3,4,3,3,3,3,3,4,4,2,4,3,4,3,3,4,3,3.366666667,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
40,1,1,2,1,1,2,1,1,2,3,2,1,3,1,1,1,1,2,2,1,1,1,1,1,2,2,2,4,2,2,1.6,2,4,5,4,5,5,3,5,2,5,1,1,5,4,5,2,2,5,4,4,5,2,5,4,5,1,4,5,4,3,1,4,5,4,3,2,1,5,3,5,4,3,4,5,3.636363636,5,3,4,4,5,3,4,5,5,4,4,3,4,4,4,5,5,4,5,5,2,4,5,4,4,5,5,4,3,4,4.166666667,"$50,000 - $59,999",14507,50000,60000,55000,3.791273178
41,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,2,1,1,2,1,3,1,1.333333333,5,3,5,1,5,4,5,5,5,5,4,1,5,4,4,5,2,5,4,4,4,5,5,5,4,4,1,5,2,5,4,5,5,5,5,5,1,5,2,5,1,5,5,5,4.068181818,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,4,5,4,5,5,4.266666667,"$90,000 - $99,999",16072,90000,1.00E+05,95000,5.910900946
42,3,1,3,2,1,2,2,2,3,3,1,3,2,2,3,1,2,1,2,2,1,2,1,1,2,1,3,1,3,2,1.933333333,4,2,5,2,3,2,4,4,3,4,4,2,4,3,3,4,3,4,2,3,2,3,4,3,3,3,3,4,4,4,2,3,4,3,4,4,3,4,3,3,3,3,3,3,3.25,4,4,2,2,4,4,4,4,4,5,5,3,4,5,4,3,4,4,4,4,3,4,4,4,3,3,3,3,4,5,3.766666667,"$100,000 - $109,999",18774,1.00E+05,110000,105000,5.592841163
43,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1.1,5,1,5,1,5,3,5,5,5,5,5,1,5,1,5,4,5,5,3,5,3,4,5,5,5,4,3,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,5,3.840909091,5,5,3,4,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,4.7,"$40,000 - $49,999",11511,40000,50000,45000,3.909304144
44,2,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,1,2,3,1,1,1,1,1,1,2,1.433333333,4,3,5,1,5,5,5,5,5,5,5,1,5,3,5,5,5,5,1,5,2,5,5,4,3,5,1,5,1,5,4,5,5,5,5,5,1,5,1,5,1,5,5,1,3.909090909,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,1,5,4.466666667,NA,NA,NA,NA,NA,NA
45,3,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,1.5,4,1,4,1,4,3,4,3,4,5,3,1,5,2,5,4,4,3,2,5,2,3,4,4,5,3,1,4,2,3,2,4,4,3,2,4,1,5,1,4,2,4,4,3,3.204545455,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.966666667,"$30,000 - $39,999",29854,30000,40000,35000,1.172372211
46,2,1,1,2,2,3,2,2,3,1,4,2,1,1,1,1,1,1,2,3,1,2,2,1,1,3,2,4,1,2,1.833333333,2,4,5,3,4,5,5,4,3,5,3,1,5,5,4,1,4,1,5,5,5,4,5,2,4,1,4,4,3,2,5,5,4,4,2,2,1,4,5,5,4,5,2,2,3.590909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$200,000-$249,999",24755,2.00E+05,250000,225000,9.089072915
47,2,2,3,2,2,2,2,2,3,3,2,2,4,3,3,1,1,1,2,2,1,1,2,1,1,1,2,1,1,3,1.933333333,1,1,4,1,3,4,4,5,4,4,3,1,4,1,1,1,4,3,1,1,4,4,4,4,2,1,1,3,1,2,3,4,4,4,4,3,1,4,1,3,3,3,3,1,2.681818182,4,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3.2,"$30,000 - $39,999",14507,30000,40000,35000,2.412628386
48,3,3,2,3,3,4,3,3,2,3,1,3,3,2,2,1,2,2,2,3,1,2,2,1,2,3,4,1,3,3,2.4,2,4,4,5,2,2,4,3,1,3,2,4,4,5,3,2,4,4,5,4,5,5,4,1,2,3,4,5,5,3,3,4,4,1,4,2,2,4,3,2,2,3,2,3,3.25,5,2,4,4,4,2,4,4,4,2,1,4,4,4,4,4,4,4,3,2,2,4,4,4,2,4,4,4,2,2,3.366666667,"$10,000 - $19,999",18774,10000,20000,5000,0.26632577
49,2,1,2,1,3,2,3,2,1,2,3,3,3,2,3,3,3,3,2,2,2,3,3,2,4,4,3,4,2,2,2.5,3,2,3,5,3,5,5,3,3,5,4,3,3,3,4,3,2,4,4,5,5,4,4,5,5,1,1,3,2,3,4,3,4,4,2,4,4,5,5,5,4,4,3,3,3.613636364,4,2,1,2,4,2,4,4,4,3,2,2,4,2,3,2,5,2,4,3,3,1,4,5,2,4,4,5,1,3,3.033333333,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
